ANNO,CDPELL,CDBUS,FLAGAR,POSTO,CDSOCMZ,TMESTP
2007,08,3,A,039,000002816,20070726183937187
2007,08,3,A,040,000002915,20070727103147796
2007,08,3,R,001,000002228,20070719180450203
2007,08,3,R,002,000001559,20070719180456984
2007,08,3,R,003,000001199,20070719180503656
2007,08,3,R,004,000001729,20070719180510968
2007,08,3,R,005,000002024,20070719180536812
2007,08,3,R,006,000002289,20070719180544468
2007,08,3,R,007,000001702,20070719180550843
2007,08,3,R,009,000002023,20070719180606968
2007,08,3,R,010,000001088,20070719180614171
2007,08,3,R,012,000001829,20070719180633281
2007,08,3,R,013,000001134,20070719180641390
2007,08,3,R,014,000001148,20070719180652718
2007,08,3,R,015,000001106,20070719180659421
2007,08,3,R,016,000002734,20070719180706640
2007,08,3,R,017,000001405,20070719180710390
2007,08,3,R,018,000001211,20070719180716968
2007,08,3,R,019,000001403,20070719180724328
2007,08,3,R,020,000001103,20070719180728859
2007,08,3,R,021,000001125,20070719180735468
2007,08,3,R,022,000001105,20070719180741921
2007,08,3,R,025,000001516,20070719180805812
2007,08,3,R,026,000001116,20070719180809468
2007,08,3,R,027,000001389,20070719180826796
2007,08,3,R,028,000001167,20070719180834093
2007,08,3,R,029,000001395,20070719180841250
2007,08,3,R,030,000001368,20070719180846937
2007,08,3,R,031,000001542,20070719180850312
2007,08,3,R,032,000001096,20070719180857734
2007,08,3,R,033,000001432,20070719180904140
2007,08,3,R,034,000001210,20070726162526250
2007,08,4,A,001,000001414,20070719181030328
2007,08,4,A,002,000001215,20070719181033265
2007,08,4,R,001,000001414,20070719181030328
2007,08,4,R,002,000001215,20070719181033265
2007,11,1,A,002,000003018,20071011104415077
2007,11,1,A,003,000003012,20071011104426858
2007,11,1,A,004,000001247,20071011104437358
2007,11,1,A,005,000001802,20071011104452561
2007,11,1,A,006,000003011,20071011104505561
2007,11,1,A,007,000001687,20071011104547811
2007,11,1,A,008,000002324,20071011104559889
2007,11,1,A,009,000001794,20071011104613670
2007,11,1,A,010,000001795,20071011104623983
2007,11,1,A,011,000001800,20071011104644936
2007,11,1,A,012,000001816,20071011104929030
2007,11,1,A,013,000001815,20071011104938467
2007,11,1,A,014,000001798,20071011105021311
2007,11,1,A,015,000002328,20071011105030717
2007,11,1,A,018,000001071,20071011105139592
2007,11,1,A,019,000001500,20071012090812218
2007,11,1,A,020,000002231,20071011105252811
2007,11,1,A,021,000001808,20071011105305858
2007,11,1,A,022,000001739,20071011105318170
2007,11,1,A,023,000001494,20071011105329608
2007,11,1,A,024,000001864,20071011105357045
2007,11,1,A,025,000001825,20071011105407639
2007,11,1,A,028,000002780,20071011105653780
2007,11,1,A,029,000002330,20071011105716999
2007,11,1,A,030,000001455,20071011105728717
2007,11,1,A,031,000001847,20071011105750295
2007,11,1,A,032,000002589,20071011105803280
2007,11,1,A,034,000001630,20071011105849311
2007,11,1,A,035,000002143,20071011105902374
2007,11,1,A,036,000001641,20071011105935733
2007,11,1,A,037,000001048,20071011105950702
2007,11,1,A,038,000001049,20071011110006374
2007,11,1,A,039,000001832,20071011110040733
2007,11,1,A,041,000002622,20071011110101045
2007,11,1,A,042,000003017,20071011110112374
2007,11,1,A,043,000001235,20071011110424983
2007,11,1,A,044,000002145,20071011110504186
2007,11,1,R,002,000003018,20071011104415077
2007,11,1,R,003,000003012,20071011104426920
2007,11,1,R,004,000001247,20071011104437452
2007,11,1,R,005,000001802,20071011104452624
2007,11,1,R,006,000003011,20071011104505592
